1;Pike;23:3;«NL»;94933371
2;DarkShadow;295:2;Templar;93079520
3;ToTerHaSu;172:1;[ToT];86730539
4;Bash0r;58:4;;71359520
5;DDR.::.Volcano;253:6;-GAHQ-;69123768
6;Friesengeist;32:2;[W]arfare;68267069
7;BadBoy4Life;55:1;{CoL};62425993
8;MiR;250:4;-]aff[-;61805095
9;thebigs;220:2;Trocadero;57531684
10;Popp-Korn;97:2;Trile;57079620
11;Algo_hat_sex_mit_Ilo;6:2;Taskforce;56439426
12;Sk1llzThatK1llz;71:2;;52392697
13;ketschup;553:2;Nl chiller;50222724
14;MCVoodoo;213:1;MoB;49918654
15;FireEagle;129:3;[PARADOX];49583280
16;Arthas;33:1;[ToT];48808972
17;ChefSmoka67;64:6;[olo];48116756
18;P601L;277:5;SGK;47622326
19;Shinigami;124:1;Darkness;46693905
20;ApOcBashOrT;176:1;X-Mas GB;45226536
21;Quendrian;33:4;[ToT];45208402
22;misupulamer;60:4;Wing «NL»;45007740
23;Jimbo;4:2;Darkness;44073165
24;xFingoxAufxWeihrauchx;133:3;No Ally;44035259
25;rocketworm;145:5;GOF;43778494
26;KiLL0r;190:2;Templar;42562009
27;zu:putZig;154:1;verwirrte;41682583
28;akira;172:6;[ToT];41549849
29;Tuxman;20:1;R.i.P.;41380896
30;cejk;29:4;roid4free;41249859
31;lemon;77:5;;40762037
32;BattleStar;108:1;SGK;40531988
33;WeihnachtsMao;98:1;aQuaLight;40293210
34;Luemmel;198:2;Gnarg;39637652
35;Spongebob;120:2;;39475650
36;leidenschaftlich;232:5;Urmel;38690497
37;skyhead;531:1;Space War;38475371
38;Kolumbus;229:1;TSA;37645020
39;WhiteSoldier;192:2;ACTIV;37623245
40;Centralin;289:4;MoB;37344490
41;Blunaboy;36:6;.:QAD:.;37188121
42;Kr1zZ;29:6;roid4free;34826612
43;IZSkiSurfer;191:5;SPAWN;34117145
44;MEG;178:1;Black  Pea;33931270
45;neo79;512:8;;33873336
46;TheEnd;71:5;;33869136
47;unsinn;239:3;WH2K;33806252
48;n00bdead;244:5;EpoS;33641647
49;Zer0ProSac;261:4;Rigo;33544445
50;Patriot;184:1;R@W;33075878
51;Baltazar;213:3;MoB;32925584
52;hualpa;50:2;ficken?;32124414
53;LeutnantStriker;169:5;Bekloppte;32009602
54;dufy;563:1;;31996176
55;Golem;257:1;-=GO=-;31916176
56;BiGGie-SmaLL;170:3;uhn tiss;31827481
57;Ans;99:3;KiGa;31272033
58;marcs000th;10:2;.:QAD:.;30862585
59;Suizid;535:6;Honks;30706038
60;Horizont;526:2;;30676087
61;LaCampa;148:2;No Ally;30445616
62;broeksch;27:2;;30286900
63;N86;26:4;Flauschis;29970919
64;root;50:1;ficken?;29860915
65;Flotte.weg.ich.komme;307:8;;29619526
66;Netfice7;77:1;;29563726
67;GBaer-xmas-LekTuS;104:4;X-Mas GB;29457008
68;mondman;253:3;-GAHQ-;28802306
69;bernddasbrot;164:1;-uw-;28787690
70;GbaerBliZZarD;530:1;X-Mas GB;28760587
71;Draven;507:4;Urmel;28241875
72;evolution;137:3;;27805418
73;gabbernina;530:5;X-Mas GB;27703840
74;BrAiN;247:1;ficken?;27592547
75;z0oyA;136:6;[W]arfare;27539069
76;Dorfbewohner;180:2;Wichtel;27439146
77;Wolfi;27:5;;27421386
78;Bust3r;148:4;No Ally;27405221
79;fLipmOdE_is_going_roOOound;23:5;«NL»;27174677
80;Fandango;79:1;;27153689
81;Sling;225:3;ReVenGin H;27102502
82;-Firefox-;286:1;R@W;27058248
83;eXtrem:putZig;154:6;verwirrte;27051560
84;Sokar;130:1;MADDOGS;26379958
85;Sunflower2006;182:1;Cava;26269326
86;Gheddo;543:5;Darkness;26134383
87;Hixxor;87:8;;26031350
88;BueffelBill;2:3;;25902151
89;Huhn;110:1;«N[u@]L»;25866340
90;haloman;102:1;cashmaster;25624399
91;cole;127:1;;25418451
92;Huetter;68:1;uK;25297032
93;oksne;507:1;Urmel;24982101
94;Tacco;8:4;PeNisNeid;24892234
95;Mars;184:4;R@W;24749108
96;Partyboy;504:7;;24019649
97;BloodAngel;286:2;R@W;23931745
98;gANgSTa;175:1;;23896397
99;ICEBER;544:9;;23820943
100;Spy;148:6;No Ally;23080842
