1;Patriot;184:1;R@W;19317
2;lore-_-;23:2;«NL»;15400
3;LuZiFiRe;286:6;R@W;14324
4;-Firefox-;286:1;R@W;13406
5;xan;45:1;.:QAD:.;11798
6;AToMiC;184:5;R@W;11233
7;Hobo;45:5;.:QAD:.;10382
8;skilly;23:4;«NL»;10146
9;fLipmOdE_is_going_roOOound;23:5;«NL»;10012
10;Strebersdorfer(AUT);286:5;R@W;9683
11;afrolocke;286:4;R@W;9086
12;StormTrooper;184:6;R@W;9033
13;SerPenTe;286:3;R@W;8137
14;ToTerHaSu;172:1;[ToT];7675
15;marcs000th;10:2;.:QAD:.;7556
16;BloodAngel;286:2;R@W;7278
17;DarkShadow;295:2;Templar;7245
18;-shaKer-;33:6;[ToT];6883
19;tronXx;23:6;«NL»;6769
20;wandy;23:1;«NL»;6603
21;psy;26:1;Flauschis;6375
22;Mars;184:4;R@W;5938
23;ColdEyes;184:3;R@W;5682
24;TheRealB;45:4;.:QAD:.;5630
25;Arthas;33:1;[ToT];5341
26;damn;207:2;[V]olume;5211
27;Flipper;33:3;[ToT];5084
28;ElCid;10:4;.:QAD:.;5008
29;akira;172:6;[ToT];4901
30;xXSexOhneAnfassenXx;245:6;MoB;4815
31;Michiiiiii;26:5;Flauschis;4805
32;Aladin;36:4;.:QAD:.;4711
33;Na3030;10:1;.:QAD:.;4543
34;halo2;36:2;.:QAD:.;4509
35;DarkneZ;207:4;[V]olume;4462
36;Quendrian;33:4;[ToT];3527
37;Derboesetommy;115:3;[V]olume;3524
38;8472;207:3;[V]olume;3507
39;evos;207:1;[V]olume;3386
40;gr0mIt;172:3;[ToT];3350
41;666Devil;26:2;Flauschis;3299
42;Pike;23:3;«NL»;3233
43;commanderkuemml;45:3;.:QAD:.;3183
44;N86;26:4;Flauschis;3114
45;chRis0rIz0r;17:1;[pG];3095
46;Sebb.:.ch1llt.:.auch.:.hier;212:1;FiX & FoXi;2868
47;Baltazar;213:3;MoB;2829
48;Full-Metal-Jacket;21:6;Templar;2765
49;darkstyle;26:3;Flauschis;2672
50;Zetti;21:2;Templar;2639
51;T4r0;28:4;verwirrte;2583
52;Stargaterunner;115:6;[V]olume;2459
53;LinD-;245:2;MoB;2451
54;rec::RegneZ;115:4;[V]olume;2442
55;MCVoodoo;213:1;MoB;2404
56;DSLDigger;558:6;FiX & FoXi;2367
57;spOOky;10:5;.:QAD:.;2360
58;-xXx-;115:1;[V]olume;2320
59;FraGG;196:2;Templar;2075
60;holly666;45:2;.:QAD:.;2056
61;Maja;10:6;.:QAD:.;2034
62;sm0k3;19:6;Bekloppte;2028
63;ToEn;558:5;FiX & FoXi;1961
64;TheEnd;71:5;;1860
65;DerSchlachter;547:5;[TKKG];1859
66;k4in;115:2;[V]olume;1845
67;BIGCOMANDER;172:4;[ToT];1754
68;Bibo;138:3;X-Mas GB;1736
69;MetalGear;207:6;[V]olume;1719
70;_alien_;28:5;verwirrte;1692
71;drAgoNfrUitS;212:5;FiX & FoXi;1689
72;Eurgail;256:5;sex?;1685
73;husti;36:3;.:QAD:.;1681
74;SantaSnoop;212:2;FiX & FoXi;1644
75;smart;36:1;.:QAD:.;1636
76;anti_a_SF_trains_for_round_15;2:8;;1634
77;brotkaeppchen;19:1;Bekloppte;1587
78;manjana;26:6;Flauschis;1583
79;schnuckim;119:2;Bekloppte;1541
80;Flanders;295:1;Templar;1539
81;Enomine;94:1;SGK;1510
82;hedco;560:2;Revali;1506
83;(r1)tual;106:3;ACTIV;1502
84;Basel.St.Cool;194:3;aQuaLight;1502
85;dawid;36:5;.:QAD:.;1485
86;Jerry0110;223:3;SiGMaa;1470
87;buuuh;28:1;verwirrte;1469
88;Benne;21:1;Templar;1457
89;Maple;265:1;Busbau AG;1448
90;shaddi;3:1;SSS;1433
91;Doomhammer;98:5;aQuaLight;1400
92;so0.::.chillt.::.rum;115:5;[V]olume;1390
93;HeIKoHoL;532:5;Wichtel;1375
94;navi;17:5;[pG];1350
95;Kain;169:3;Bekloppte;1350
96;Veyron11;162:2;Wing «NL»;1340
97;grabi;92:2;KuschelTeA;1332
98;MeJo;9:5;FunChillaz;1325
99;Providence;9:1;FunChillaz;1324
100;RomAnForTreSS;98:3;aQuaLight;1314
