1;LuZiFiRe;286:6;R@W;2530
2;Hobo;45:5;.:QAD:.;1923
3;Quendrian;33:4;[ToT];1801
4;buuuh;28:1;verwirrte;1800
5;-shaKer-;33:6;[ToT];1733
6;TheRealB;45:4;.:QAD:.;1445
7;FrisB33;265:4;Busbau AG;1415
8;ToTerHaSu;172:1;[ToT];1300
9;Arthas;33:1;[ToT];1150
10;fLipmOdE_is_going_roOOound;23:5;«NL»;1135
11;lore-_-;23:2;«NL»;1100
12;FlatMoon;253:1;-GAHQ-;1085
13;Michiiiiii;26:5;Flauschis;1072
14;commanderkuemml;45:3;.:QAD:.;1036
15;Patriot;184:1;R@W;1027
16;ColdEyes;184:3;R@W;1025
17;T4r0;28:4;verwirrte;1008
18;StormTrooper;184:6;R@W;1000
19;xXxGeneralfXXXllRxXxisxXxpGxXx;265:2;Busbau AG;1000
20;Speedy;558:2;FiX & FoXi;960
21;delorean;57:5;Valley;809
22;tronXx;23:6;«NL»;787
23;heimwerker;90:6;-]aff[-;775
24;chRis0rIz0r;17:1;[pG];768
25;Alriken;525:1;WaoS;750
26;sm0k3;19:6;Bekloppte;707
27;marcs000th;10:2;.:QAD:.;701
28;SchwarzeMamba;94:5;SGK;680
29;navi;17:5;[pG];660
30;o3tzilein;248:4;[pG];659
31;xXChrismadomXx;134:1;RdS;658
32;NaXoN;251:5;Die Chilla;644
33;Flanders;295:1;Templar;625
34;skilly;23:4;«NL»;611
35;halo2;36:2;.:QAD:.;607
36;knighty;264:1;-GAHQ-;602
37;katana;160:2;Trile;600
38;DarkneZ;207:4;[V]olume;565
39;chewieman;555:4;eXorZisTen;550
40;brotkaeppchen;19:1;Bekloppte;550
41;sk9;148:1;No Ally;545
42;DarkShadow;295:2;Templar;533
43;Carnival;61:6;MADDOGS;524
44;Nimrod;558:1;FiX & FoXi;510
45;Na3030;10:1;.:QAD:.;500
46;Devstar;5:2;ZIMTSterne;500
47;dschensi;92:5;KuschelTeA;500
48;gOOOrOOO;149:4;;500
49;afrolocke;286:4;R@W;500
50;Cry4u;248:6;[pG];500
51;Derboesetommy;115:3;[V]olume;469
52;defend4peace;554:6;iQ;469
53;_sAntA_;560:5;Revali;450
54;Redi;553:1;Nl chiller;450
55;hedco;560:2;Revali;450
56;Aladin;36:4;.:QAD:.;450
57;baroudeur;32:6;[W]arfare;440
58;Setihome;218:6;Urmel;430
59;Proxymus;218:3;Urmel;410
60;scratty;9:2;FunChillaz;410
61;GBaerRenton;138:5;X-Mas GB;400
62;_alien_;28:5;verwirrte;400
63;Laydee;554:2;iQ;400
64;Wololo;84:4;XMAS@CHILL;400
65;PrimE;554:3;iQ;400
66;ElCid;10:4;.:QAD:.;400
67;MeJo;9:5;FunChillaz;400
68;dawid;36:5;.:QAD:.;395
69;Maple;265:1;Busbau AG;392
70;DoNoRoHt;515:1;RdS;390
71;Mars;184:4;R@W;390
72;.:Odin.:.is.:.Cruel.:;203:3;GOF;385
73;gr0mIt;172:3;[ToT];385
74;CyrilSneer;135:4;SF;382
75;ChickenWings;168:3;[TKKG];382
76;ColonelBlair;132:2;XmasBash0r;370
77;MR.KNOX;135:5;SF;370
78;B1baaa;28:3;verwirrte;370
79;akira;172:6;[ToT];369
80;xan;45:1;.:QAD:.;365
81;Macbeth;295:3;Templar;360
82;wandy;23:1;«NL»;358
83;Mak80;134:2;RdS;358
84;husti;36:3;.:QAD:.;355
85;Pike;23:3;«NL»;350
86;Diablo2;490:3;MSes;350
87;Hinock;9:4;FunChillaz;350
88;mondman;253:3;-GAHQ-;350
89;sputnik0815;525:4;WaoS;350
90;kcabXsekirtsXeripfpmuXeht;110:6;«N[u@]L»;350
91;Killmaster87;330:5;iQ;350
92;Spongebob;120:2;;340
93;Hanfblatt;543:1;Darkness;340
94;Providence;9:1;FunChillaz;340
95;-Firefox-;286:1;R@W;338
96;Zetti;21:2;Templar;330
97;nanos;554:1;iQ;330
98;rabbit;92:3;KuschelTeA;329
99;BloodAngel;286:2;R@W;320
100;DarkNick;225:1;ReVenGin H;320
