1;Stroml;5:6;- Wok - ;5130
2;KingBono;6:2;-KiBO-;4524
3;Grau;2:7;Wahre5;4118
4;BaZinGa;5:8;- Wok - ;3865
5;Dgini;5:5;- Wok - ;3579
6;Doctor;6:7;-KiBO-;3500
7;Messemaker;6:3;-KiBO-;3492
8;nö;6:4;-KiBO-;3138
9;Lysander;5:4;- Wok - ;2970
10;Anglachel;5:2;- Wok - ;2947
11;Der_müde_Joe;9:2;1,2 oder 3;2800
12;Tivox;2:6;Wahre5;2792
13;BanZai;5:7;- Wok - ;2750
14;Rhonda;8:4;;2616
15;Beelzebub;4:9;;2518
16;Bautrump;2:2;Wahre5;2514
17;RubberDuck;5:3;- Wok - ;2500
18;Daki;2:5;Wahre5;2410
19;RubberBear;9:1;1,2 oder 3;2384
20;Koepenigga;9:5;1,2 oder 3;2339
21;Wilpe;9:4;1,2 oder 3;2315
22;Kampmann;2:4;Wahre5;2307
23;Sweeper;6:1;-KiBO-;2166
24;Pyro;4:2;;2100
25;DerLuu;4:6;;2100
26;Don;5:1;- Wok - ;2067
27;nackt;6:6;-KiBO-;2018
28;3k1;4:7;;2000
29;Hasi;4:8;;2000
30;Blaubartbube;9:6;1,2 oder 3;1671
31;Comeback;4:10;;1669
32;Shrimp;2:3;Wahre5;1634
33;pesto;4:3;;1600
34;ebastuart;2:8;Wahre5;1580
35;Predex87;4:1;;1250
36;Wolf;9:3;1,2 oder 3;1215
37;WhatIf;8:2;;1100
38;Roti;4:5;;1092
39;Mamsell;2:1;Wahre5;1092
40;IchBinBöse;8:3;;930
41;BimBamBino;10:1;Tele5;750
42;Lordsachse1;4:4;;738
43;Thorssohn;8:7;;532
44;Hulk;7:1;;200
45;Busenwunder;6:8;-KiBO-;193
46;SexOhneGeld;6:5;-KiBO-;150
47;matte85;8:6;;45
48;5_0f_8;8:5;;31
49;Carpenter;3:1;BNaNa;19
50;abc;11:1;;9
51;Eulalia;8:1;;9
