1;Morlock54;8:2;Narko;3750
2;Thanos;8:1;Narko;3540
3;3k1;3:4;SNICKERS;3368
4;Kampmann;3:3;SNICKERS;3191
5;M3L0_speed;8:4;Narko;2927
6;Daki;3:1;SNICKERS;2481
7;schizophrenic2nd;2:4;Flugschule;1751
8;Lys;8:3;Narko;1723
9;ebastuart;3:2;SNICKERS;1670
10;Graf Zeppelin;2:1;Flugschule;1513
11;nichtschwarznichtweiss;12:2;Obstsalat;1328
12;mennO_son;11:1;mir latte;1254
13;Luftbaron;2:2;Flugschule;1069
14;argu;16:3;;1057
15;J0GI;16:1;;1025
16;Wurmi;11:2;mir latte;1013
17;Princess;2:3;Flugschule;951
18;sChLuMpF-_-2k-_-sP33d;11:3;mir latte;933
19;MaxXimumOwn;11:4;mir latte;820
20;poseidon;7:1;;766
21;Shrimp;12:3;Obstsalat;721
22;marius;17:4;;700
23;lionking;7:3;;700
24;Exitus;16:4;;699
25;Köpenigga;4:4;N1cer;691
26;Anglachel ;5:2;n1ce;642
27;ThePunisher;7:2;;500
28;:-*;14:2;asdf;445
29;Lordsachse ;5:4;n1ce;409
30;Wilpe;4:3;N1cer;405
31;KingBono;14:1;asdf;400
32;Farmer;16:2;;379
33;Pepe;7:4;;304
34;Ap0905;5:3;n1ce;302
35;speedy;10:1;UPLOAD;200
36;bobsel;56:1;SHALOM;200
37;Romalk;5:1;n1ce;183
38;Bin nicht da;4:2;N1cer;76
39;Wolf;12:4;Obstsalat;49
40;Dgini;4:1;N1cer;41
41;Zubasa;14:3;asdf;25
42;10Mann.ally.war.besser!;12:1;Obstsalat;17
43;san;17:3;;10
