Dgini;5:2;N1ce;Kristall;194233665;crystal
argu;4:5;Kopfnuss;Metall;413653750;metal
3k1;2:6;;Asteroiden;1111;roids
Princess;9:5;Tüdelü;Kristall Extraktoren;7537;ex_crystal
Princess;9:5;Tüdelü;Metall Extraktoren;11724;ex_metal
Mamsell;4:3;Kopfnuss;Scanverstärker;136547;amp
3k1;2:6;;Scanblocker;141388;blocker
AK47;2:4;;Jäger;66666;s1
MaxXimumOwn;4:4;Kopfnuss;Bomber;106000;s2
Princess;9:5;Tüdelü;Fregatte;53000;s3
AK47;2:4;;Zerstörer;26666;s4
ThePunisher ;9:2;Tüdelü;Kreuzer;10000;s5
Thanos;9:1;Tüdelü;Schlachtschiff;2506;s6
Schnitzel;9:3;Tüdelü;Träger;6400;s7
Princess;9:5;Tüdelü;Kaperschiff;250000;s9
Princess;9:5;Tüdelü;Schutzschiff;170000;s10
Princess;9:5;Tüdelü;Rubium;60000;g1
Princess;9:5;Tüdelü;Pulsar;25000;g2
Princess;9:5;Tüdelü;Coon;2000;g3
argu;4:5;Kopfnuss;Centurion;514;g4
AK47;2:4;;Horus;355555;g5
