1;SpexXx;669:8;myMyll;20429
2;3001;77:5;KRIEGKRIEG;17291
3;zucca;69:1; .::QAD::.;15000
4;Doctor;1830:1;myMyll;12250
5;Shrimp;77:8;KRIEGKRIEG;10000
6;Lordmesse;77:4;KRIEGKRIEG;9655
7;Daki;77:3;KRIEGKRIEG;9535
8;Koepenigga;1830:7;myMyll;5800
9;blaubartbube;1830:5;myMyll;4645
10;Hasi;2:5;;4080
11;xBanZaix;1337:7;[ToT];3500
12;virus;9999:1;☢☣☢;2833
13;Saxdaanhalta;2:10;;2088
14;Xaladass;77:6;KRIEGKRIEG;1712
15;Jundi;666:4;[ToT];1686
16;Pestiii;666:7;[ToT];1400
17;RubberBear;1830:8;myMyll;1300
18;IchBinBöse;2:3;;1150
19;Mara;77:1;KRIEGKRIEG;1001
20;TiVoX;77:2;KRIEGKRIEG;1000
21;joe;667:3;;1000
22;Anglachel;669:6;myMyll;1000
23;promi_pinching_hand;2:1;;500
24;Lysander;669:1;myMyll;438
25;noLimit;667:10;;400
26;GeorgeOrwell;1337:1;[ToT];300
27;Grau;666:8;[ToT];241
28;Thaouri;1337:4;[ToT];222
29;Wilpe;1830:6;myMyll;200
30;DerWendler;1337:2;[ToT];200
31;Dgini;1830:4;myMyll;188
32;Tieger6666;669:3;myMyll;157
33;Laran;666:3;[ToT];125
34;eLgaTo;667:2;;125
35;Parzival;2:7;;110
36;Stroml;1337:8;[ToT];100
37;Ash;666:5;[ToT];100
38;LordSky;77:7;KRIEGKRIEG;100
39;Wolf;669:5;myMyll;98
40;Pyro;666:1;[ToT];75
41;Maggus;42:1;Seehofer;50
42;lordsachse;1337:5;[ToT];50
43;:-);669:2;myMyll;45
44;SPEEDTERROR;1830:2;myMyll;40
45;RubberDuck;669:7;myMyll;20
46;BackinBlack;667:8;;5
47;SonGohan;671:10;;2
48;Seby;1337:3;[ToT];2
49;Schizophrenic2nd;667:1;;1
50;botes;667:6;;0
51;Akku;666:6;[ToT];0
52;Clatu;671:3;;0
53;bobsel;2:9;;0
54;Chrissy;671:7;;0
55;Whocares;3:1;;0
56;HansiHinterlader;1337:6;[ToT];0
57;Raiku3018;667:5;;0
58;Gizeh;2:2;;0
59;LarsVader;1830:3;myMyll;0
60;-.-;667:7;;0
61;Buster;2:4;;0
62;SubStra;667:9;;0
63;Sebisbückstück;2:6;;0
64;test1234;671:2;;0
65;Nö;2:8;;0
66;Noom;671:4;;0
67;Plessken;671:9;;0
68;Raiku3000;5:1;;0
69;Sweeper;7:1;─KiBO─;0
70;Mamsell;666:2;[ToT];0
71;Köpenigga;667:4;;0
72;InSaNiTy;672:1;eco;0
