1;lordsachse;1337:5;[ToT];2641
2;Grau;666:8;[ToT];2086
3;Laran;666:3;[ToT];2050
4;Akku;666:6;[ToT];1934
5;GeorgeOrwell;1337:1;[ToT];1932
6;Jundi;666:4;[ToT];1885
7;xBanZaix;1337:7;[ToT];1850
8;DerWendler;1337:2;[ToT];1802
9;HansiHinterlader;1337:6;[ToT];1614
10;Mara;77:1;KRIEGKRIEG;1437
11;Stroml;1337:8;[ToT];1421
12;Pyro;666:1;[ToT];1360
13;Lordmesse;77:4;KRIEGKRIEG;1357
14;Thaouri;1337:4;[ToT];1337
15;Pestiii;666:7;[ToT];1334
16;SPEEDTERROR;1830:2;myMyll;1308
17;RubberBear;1830:8;myMyll;1300
18;Seby;1337:3;[ToT];1241
19;Daki;77:3;KRIEGKRIEG;1234
20;Ash;666:5;[ToT];1217
21;LarsVader;1830:3;myMyll;1200
22;Nö;2:8;;1195
23;blaubartbube;1830:5;myMyll;1130
24;:-);669:2;myMyll;1105
25;3001;77:5;KRIEGKRIEG;1014
26;IchBinBöse;2:3;;1000
27;LordSky;77:7;KRIEGKRIEG;1000
28;Xaladass;77:6;KRIEGKRIEG;984
29;Koepenigga;1830:7;myMyll;955
30;Tieger6666;669:3;myMyll;893
31;RubberDuck;669:7;myMyll;853
32;Shrimp;77:8;KRIEGKRIEG;834
33;Mamsell;666:2;[ToT];812
34;Sweeper;7:1;─KiBO─;805
35;Gizeh;2:2;;750
36;SpexXx;669:8;myMyll;739
37;Anglachel;669:6;myMyll;692
38;TiVoX;77:2;KRIEGKRIEG;679
39;Dgini;1830:4;myMyll;577
40;Hasi;2:5;;565
41;Wilpe;1830:6;myMyll;565
42;Doctor;1830:1;myMyll;524
43;virus;9999:1;☢☣☢;510
44;bobsel;2:9;;500
45;Maggus;42:1;Seehofer;500
46;zucca;69:1; .::QAD::.;500
47;Saxdaanhalta;2:10;;490
48;Schizophrenic2nd;667:1;;400
49;Wolf;669:5;myMyll;369
50;promi_pinching_hand;2:1;;366
51;Lysander;669:1;myMyll;280
52;joe;667:3;;225
53;BackinBlack;667:8;;90
54;noLimit;667:10;;41
55;InSaNiTy;672:1;eco;26
56;Buster;2:4;;25
57;Chrissy;671:7;;23
58;Whocares;3:1;;17
59;-.-;667:7;;17
60;Plessken;671:9;;15
61;SubStra;667:9;;11
62;SonGohan;671:10;;10
63;Parzival;2:7;;9
64;eLgaTo;667:2;;9
65;botes;667:6;;0
66;Clatu;671:3;;0
67;Raiku3018;667:5;;0
68;Sebisbückstück;2:6;;0
69;test1234;671:2;;0
70;Noom;671:4;;0
71;Raiku3000;5:1;;0
72;Köpenigga;667:4;;0
