1;Laran;666:3;[ToT];587199614
2;Akku;666:6;[ToT];537034982
3;Ash;666:5;[ToT];511988082
4;TiVoX;77:2;KRIEGKRIEG;502373730
5;Pyro;666:1;[ToT];496808197
6;Stroml;1337:8;[ToT];492743211
7;Pestiii;666:7;[ToT];482685842
8;LordSky;77:7;KRIEGKRIEG;472505972
9;Seby;1337:3;[ToT];437852334
10;Sweeper;7:1;─KiBO─;411590670
11;Grau;666:8;[ToT];394571004
12;Mara;77:1;KRIEGKRIEG;391141504
13;Xaladass;77:6;KRIEGKRIEG;380491685
14;:-);669:2;myMyll;380328671
15;Gizeh;2:2;;369361780
16;bobsel;2:9;;365447857
17;Thaouri;1337:4;[ToT];360656015
18;Jundi;666:4;[ToT];359402312
19;Daki;77:3;KRIEGKRIEG;356675486
20;xBanZaix;1337:7;[ToT];346329531
21;HansiHinterlader;1337:6;[ToT];339910075
22;LarsVader;1830:3;myMyll;338854942
23;IchBinBöse;2:3;;336583100
24;Maggus;42:1;Seehofer;323768732
25;3001;77:5;KRIEGKRIEG;319651556
26;lordsachse;1337:5;[ToT];316148386
27;Nö;2:8;;292554972
28;virus;9999:1;☢☣☢;288620912
29;DerWendler;1337:2;[ToT];285780059
30;GeorgeOrwell;1337:1;[ToT];282902100
31;SpexXx;669:8;myMyll;274261661
32;SPEEDTERROR;1830:2;myMyll;269560236
33;Tieger6666;669:3;myMyll;268707682
34;BackinBlack;667:8;;231967945
35;blaubartbube;1830:5;myMyll;220909183
36;Saxdaanhalta;2:10;;185127736
37;RubberBear;1830:8;myMyll;175281411
38;Hasi;2:5;;171757649
39;Wilpe;1830:6;myMyll;168031566
40;Lysander;669:1;myMyll;156565379
41;Anglachel;669:6;myMyll;153466811
42;noLimit;667:10;;149343838
43;promi_pinching_hand;2:1;;127202406
44;Koepenigga;1830:7;myMyll;115377204
45;Mamsell;666:2;[ToT];107163583
46;Dgini;1830:4;myMyll;102944695
47;RubberDuck;669:7;myMyll;102252866
48;Shrimp;77:8;KRIEGKRIEG;73634781
49;Lordmesse;77:4;KRIEGKRIEG;56478400
50;Schizophrenic2nd;667:1;;54880001
51;zucca;69:1; .::QAD::.;29460672
52;SonGohan;671:10;;20581237
53;InSaNiTy;672:1;eco;17805367
54;Wolf;669:5;myMyll;17688731
55;SubStra;667:9;;17238130
56;Whocares;3:1;;16582746
57;Chrissy;671:7;;16513227
58;Buster;2:4;;16428624
59;Plessken;671:9;;16416224
60;Köpenigga;667:4;;15588000
61;botes;667:6;;15588000
62;Clatu;671:3;;15588000
63;Noom;671:4;;15588000
64;test1234;671:2;;15582000
65;joe;667:3;;15179560
66;Raiku3018;667:5;;15178000
67;Raiku3000;5:1;;15172000
68;Parzival;2:7;;15069172
69;Doctor;1830:1;myMyll;13592882
70;Sebisbückstück;2:6;;12884000
71;eLgaTo;667:2;;9007235
72;-.-;667:7;;8990765
