1;HmM;5:4;die.Bösen;4909013793
2;Pyro;5:8;die.Bösen;3504457176
3;007;58:1;]cB[;3434787047
4;zerobimbo;5:1;die.Bösen;3074639139
5;revilo;338:10;die.Bösen;2950570635
6;jackson;58:5;]cB[;2924237498
7;skywire;5:10;die.Bösen;2683570193
8;Satan;36:10;G&G;2651328287
9;Alkz;338:5;die.Bösen;2538050117
10;pr0ph3t;173:9;die.Bösen;2415215692
11;nixer;58:10;]cB[;2225811379
12;alpa;173:1;die.Bösen;2207828289
13;DeSpErAdOs;158:2;]cB[;2198856993
14;Gobbles;58:4;]cB[;2148965948
15;Salayer;5:7;die.Bösen;2133153420
16;DrCannibalLector;173:8;die.Bösen;2030121823
17;Shurrik;180:7;S.G.K;2016052895
18;Bulldog;180:1;S.G.K;2003977834
19;Bantahunter;888:4;S.G.K;1955370917
20;argu;5:3;die.Bösen;1932606795
21;BlueLady;888:5;S.G.K;1830680036
22;toko;58:6;]cB[;1801665289
23;acu;173:5;die.Bösen;1764080402
24;tbnexus;180:9;S.G.K;1737821407
25;Seele;180:5;S.G.K;1732260382
26;Benton;5:2;die.Bösen;1721621231
27;Molak;173:3;die.Bösen;1695079443
28;Riddick_der_Pornohase;888:9;S.G.K;1624167295
29;oNyX;888:3;S.G.K;1543976887
30;sclass21;888:1;S.G.K;1539097063
31;.:köpenigga:.;99:8;Rotzlöffel;1533571244
32;stfu-k;158:10;]cB[;1498944952
33;Morlock54;511:7;M:I;1470435066
34;JanaJordan(.)(.);338:8;die.Bösen;1465925992
35;killerbot75;99:3;Rotzlöffel;1417934572
36;.:xBanZaix:.;338:6;die.Bösen;1356328586
37;TheRealMagic;58:7;]cB[;1350341076
38;re-o;196:3;Rotzlöffel;1347808731
39;Valcon-to-a-or-RoThS;158:5;]cB[;1338505008
40;mjolle;58:3;]cB[;1336442692
41;Exitus;173:2;die.Bösen;1329512768
42;.:Fuschihunter:.;338:3;die.Bösen;1320693385
43;navi;5:6;die.Bösen;1301921394
44;Lingoura;23:4;D;1222771348
45;Lurlaen;58:2;]cB[;1206229065
46;eXanimalis;158:8;]cB[;1191398444
47;.:Dino-HB:.;180:3;S.G.K;1180208130
48;peerilein;45:9;SYNeRgY;1168709153
49;:-);58:8;]cB[;1159809999
50;ygyttygytt;173:4;die.Bösen;1136207367
51;Rhyphus;68:2;Rotzlöffel;1126770601
52;Rhakam;180:2;S.G.K;1124026538
53;Heady;73:7;[#]evtl.gn;1120764801
54;BluBAquA;731:5;Plüschis;1118956869
55;koks666;158:1;]cB[;1114167228
56;Krongar;180:8;S.G.K;1094243765
57;Bituon;68:9;Rotzlöffel;1078799087
58;o_O:..:Anarchy99:..:O_o;58:9;]cB[;1078741122
59;amalganman;73:6;[#]evtl.gn;1062594693
60;SyrFuzzy;800:9;SGK4EVER;1062234167
61;Scorn;173:6;die.Bösen;1061844650
62;Reinie;99:4;Rotzlöffel;1049566075
63;Toffer;351:5;NL;1021772067
64;Athrun;173:10;die.Bösen;1010929778
65;Spuk;888:10;S.G.K;1004904929
66;.:Kronos:.;196:9;Rotzlöffel;997224753
67;Klappspaten;20:7;-rp-;976220309
68;Pestiii;222:9;M:I;972325781
69;TapSumBong;404:8;JallaJalla;970103580
70;R.I.X.O.R;230:4;M:I;967526828
71;Str3un3R;888:7;S.G.K;965870747
72;oldguy;180:6;S.G.K;964625498
73;Skyblade;68:1;Rotzlöffel;963034794
74;kleeblatt;251:10;NL;959787652
75;Yilgrim;99:2;Rotzlöffel;958249997
76;Mila23;99:1;Rotzlöffel;951774208
77;Packman;45:4;SYNeRgY;946244167
78;Dave;180:10;S.G.K;936333813
79;owned.by.Birdhold;158:6;]cB[;931296807
80;Vito;20:5;-rp-;908090391
81;Fischer;36:7;G&G;899221762
82;SnakeHuhn;158:9;]cB[;891347824
83;Erazer911;15:2;JallaJalla;888246497
84;.:-Major-:.;196:7;Rotzlöffel;881039685
85;BiTbUrGeR;158:4;]cB[;880666087
86;dex;45:7;SYNeRgY;880264236
87;Landtex;96:8;[OutlawZ];880155052
88;pRiMeL;230:6;M:I;869947643
89;oixz;45:3;SYNeRgY;867847410
90;Moik86;251:1;NL;863829704
91;Aaron;20:3;-rp-;862987037
92;qlimax;221:3;[#]evtl.gn;861008954
93;tiger;154:1;Legends;859212369
94;89er;221:10;[#]evtl.gn;857740321
95;Diddiub;71:7;[RvL];857348038
96;Fractal;47:5;Old Valley;855550698
97;04:20;10:5;BuN;850523528
98;Marsipulami;338:7;die.Bösen;850348844
99;OiKaLYPTuSBoNBoN;251:4;NL;849640131
100;TMC;45:6;SYNeRgY;848280560
