1;Terr0rSandmann;18:2;w00t;14082
2;HaSu-_-;18:9;w00t;9340
3;Goofy;1830:6;w00t;6887
4;zoolander;1830:5;w00t;6738
5;ToTalCranK;666:1;w00t;6568
6;argu;18:7;w00t;6324
7;TommyTB;100:6;°o° ;6214
8;dschensi;251:7;NL;5473
9;Wolf;18:10;w00t;5340
10;lore;18:1;w00t;5333
11;Jeder;666:7;w00t;5185
12;fatemode;18:8;w00t;4636
13;CrimsonKing;18:3;w00t;4621
14;CHaRLYWaXX;251:2;NL;4473
15;bobsel;251:1;NL;4400
16;Neoangin;1830:4;w00t;4384
17;boerd;1830:1;w00t;4339
18;Morlock54;1830:9;w00t;4227
19;Tesa;2013:9;JoKerZ;4200
20;ytsed;351:3;NL;3748
21;Messemaker;351:4;NL;3661
22;3k1;222:2;M-_-I;2879
23;Exitus;251:10;NL;2876
24;nico;68:7;68aufSpeed;2831
25;Laran_auf_Geschwindigkeit;82:7;[D]ominion;2625
26;Jogi;1830:10;w00t;2609
27;TiVoX;222:10;M-_-I;2599
28;profsnake;18:6;w00t;2560
29;amunra;36:7;-AsB-;2531
30;Barili;68:1;68aufSpeed;2516
31;Feldherrin;1830:3;w00t;2516
32;sarco;39:5;[NR];2349
33;IceAge-Killer;1111:1;VN-Revival;2296
34;nixer;35:10;[NR];2276
35;Bl4ckW1ddoW;18:5;w00t;2164
36;Thorsrache;1830:7;w00t;2135
37;Topsmart;100:9;°o° ;2094
38;EcKi;68:4;68aufSpeed;2013
39;Chrissy;351:5;NL;2001
40;Neuro;39:1;[NR];1980
41;Yakuza;10:7;JoKerZ;1968
42;TFimp309;10:2;JoKerZ;1943
43;Blubberblase;1830:2;w00t;1940
44;Bachus;338:9;MoR;1937
45;sonJanssen;100:7;°o° ;1935
46;Weihnachtsmann;10:10;JoKerZ;1890
47;akku;666:9;w00t;1871
48;morpheuz;403:1;-KiBO-;1850
49;DarkHunter;666:8;w00t;1819
50;eL_l0c0p0c0;44:4;F.A.R.G.;1761
51;TiGa;10:5;JoKerZ;1731
52;Pestiii;338:5;MoR;1715
53;Marsipulami;338:8;MoR;1715
54;REtender;251:9;NL;1700
55;ToTalWAR;666:4;w00t;1680
56;phil;39:7;[NR];1640
57;Attentat;403:3;-KiBO-;1620
58;Goku;2:2;fluffy;1600
59;AvioX;351:6;NL;1582
60;Thr-_-awn;1830:8;w00t;1574
61;Engel;351:2;NL;1545
62;BacardiFeeling;35:7;[NR];1510
63;Gobbles;338:7;MoR;1479
64;Agent_Provocateur;403:7;-KiBO-;1479
65;ToTalSchaden;666:3;w00t;1467
66;whocares;251:8;NL;1445
67;Scream;862:7;||GoF||;1442
68;DrAndy0815;100:4;°o° ;1436
69;mathsch;1111:10;VN-Revival;1420
70;Mafiaroxxt;780:9;JallaJalla;1394
71;Kniescheibe;666:5;w00t;1383
72;Buttburner;39:10;[NR];1366
73;nike;6:2;OutlawZ;1348
74;Doctor;2013:6;JoKerZ;1333
75;ECKBALL--GdN--;89:2;8472;1330
76;Petri;251:3;NL;1327
77;Cronus;23:1;Rotzlöffel;1300
78;metzg0red.loves.vagina;731:4;JoKerZ;1300
79;Miraculix;9:4;Templar;1300
80;Troubley;18:4;w00t;1296
81;GBaer;403:4;-KiBO-;1293
82;Bituon;68:3;68aufSpeed;1263
83;Vollbasher;2:7;fluffy;1253
84;ich.chill.super.böhse;511:6;M-_-I;1240
85;weini2k;8:10;BuN;1238
86;MIG;666:2;w00t;1224
87;toffer;338:4;MoR;1220
88;Buddah;468:6;n1c´e;1213
89;xBanZaix;106:2;-AsB-;1210
90;Ratkaf;44:10;F.A.R.G.;1208
91;Wilpe;89:1;8472;1200
92;navi;2:6;fluffy;1199
93;--(ES)--;16:14;;1190
94;sharky;666:10;w00t;1173
95;SLAMMER;222:5;M-_-I;1171
96;Klappspaten;20:3;#-rp-;1167
97;Slartibartfas;833:7;||GoF||;1161
98;zucca;45:1; .::BSZ::.;1149
99;ignob;351:8;NL;1128
100;Str3un3R;2:10;fluffy;1115
