1;Raigen;280:2;[-eXS-];7838
2;Fuegan;259:8;[Doozer];7163
3;Quendrian;259:3;[Doozer];6310
4;Piccolo;19:2;[Doozer];6280
5;FreeAge;227:1;R1;5876
6;www.ip-clan.de;184:2;;5515
7;Tomahawk;478:10;]SoFA[;5477
8;Haschi;227:10;R1;5234
9;Pudelig;19:4;[Doozer];5102
10;Guffel;260:1;[dieGuten];5034
11;Trohl;227:4;R1;4638
12;---SnakeBite---;3:3;-[eco]-;4593
13;[Ion-X];22:1;[-eXS-];4497
14;Bladaras;22:10;[-eXS-];4404
15;Serroi;478:4;]SoFA[;4342
16;©Hybrid;184:6; -=184=-;4333
17;Janus;527:10;DaFiP;4271
18;bobsel;527:7;DaFiP;4216
19;Tormod;229:5;R1;4118
20;Biti;19:9;[Doozer];4055
21;Mind;3:9;-[eco]-;3942
22;VeNSeI;227:3;R1;3859
23;mill3r;4:3;[Doozer];3822
24;Sh@dowman;22:4;[-eXS-];3811
25;wischmopp;260:8;[dieGuten];3761
26;Sel Afyon;19:5;[Doozer];3706
27;R1der;227:8;R1;3696
28;HudsonTNG;42:5;[Doozer];3658
29;desmoll;259:1;-[eco]-;3630
30;Schwimmbuchs;179:2;[Milchnet];3545
31;Sophitia;109:9;Die Tau;3453
32;Gollum;3:1;-[eco]-;3448
33;71cK3R;165:4;[-eXS-];3343
34;Regelkreisausloeser;42:3;[Doozer];3330
35;Limit;348:1;ADFW;3319
36;Gewürzgürkchen;229:2;R1;3277
37;VirtualInsanity;353:8;[LoD];3274
38;B0RsT3L;146:2;[Doozer];3232
39;F-O-B;254:1;[ICC];3223
40;id.law.Z;260:4;[dieGuten];3175
41;Headd2k;184:10;;3118
42;zebaoth;190:2;{Orion};3115
43;Hunk;165:6;[-eXS-];3051
44;dallasmaniac;478:7;]SoFA[;3047
45;ACIDTER;184:1; -=184=-;3042
46;Lorena_Riker;184:4; -=184=-;3042
47;armag;184:3;;3027
48;Hyrican;165:2;[-eXS-];3021
49;Lord Caldar;229:1;R1;3017
50;[InSaNiTy];3:4;-[eco]-;3011
51;Stankey2000;262:1;~[CDL]~;2996
52;HoRnY;229:10;R1;2981
53;Kommando;184:9; -=184=-;2961
54;ThePikeman;19:7;[Doozer];2947
55;Vitali2000;42:9;[Doozer];2935
56;God_of_the_Death;165:1;[-eXS-];2925
57;ProfLupin;3:8;-[eco]-;2923
58;Geo;280:5;[-eXS-];2855
59;HmM;478:1;]SoFA[;2849
60;LordFarquad;9:3;[-eXS-];2834
61;Hanubi;42:10;[Doozer];2824
62;Dead-Eye;280:8;[-eXS-];2811
63;Zardock;25:8;VVV;2789
64;Spacetime;260:2;[dieGuten];2757
65;maricon;260:7;[dieGuten];2747
66;Slayerized;110:16;;2746
67;Disgusto;527:2;DaFiP;2734
68;Limulus;134:1;Die Tau;2733
69;Calgonit;11:2;Vagabonds;2729
70;krYd;227:9;R1;2688
71;BlackPanther;527:1;DaFiP;2652
72;Pinky;321:1;Die Tau;2584
73;Atlan;3:5;-[eco]-;2564
74;the scorpion;78:4;VVV;2545
75;Karp;82:1;[AvE];2506
76;Damodar;123:1;DaFiP;2490
77;MAD MAX;280:7;[-eXS-];2444
78;Poettie;42:4;[Doozer];2432
79;vampire1402;370:9;Vagabonds;2428
80;ThePantherXTR;12:5;[-eXS-];2416
81;ExE^;697:9;DaFiP;2405
82;silver;24:2;[L];2389
83;erky;4:4;[Doozer];2384
84;Manupulator;3:2;-[eco]-;2358
85;INCUBUS;134:2;Vagabonds;2351
86;Reddi;326:6;[Milchnet];2337
87;Bl@ckb][rd;229:3;R1;2335
88;saxdaanhalta;165:5;[-eXS-];2327
89;Belch;353:3;[LoD];2319
90;B52;134:8;Vagabonds;2317
91;dEmOn;4:8;[Doozer];2314
92;Basta][k;697:1;DaFiP;2303
93;paeppi;527:9;DaFiP;2289
94;chappi;101:5;[Vision];2278
95;-ave-;297:1;[Milchnet];2247
96;Lopan;42:1;[Doozer];2242
97;SteRaTo;25:7;VVV;2237
98;Cab;208:8;[cp];2219
99;-raven2k2-;118:7;[Milchnet];2196
100;Krebskolonist;3:7;-[eco]-;2189
