1;zoolander;16:1;Fizzy;30000
2;Dönertier;7:1;w00t;25560
3;Exitus;4:1;#123;14515
4;LastBoyScout;25:7;;12000
5;SnoOP;11:1;BuN;11500
6;RubberBear;18:7;Cimmerier;11000
7;Lexya;7:4;w00t;10000
8;Sir0815;11:5;BuN;10000
9;bobsel;4:4;#123;9825
10;Jack_Ryan;16:5;Fizzy;9575
11;Messemaker;12:9;puk;8144
12;phil;13:13;;8000
13;Hofi;11:2;BuN;7500
14;WELLIfighter;18:10;Cimmerier;5945
15;bronco0105;11:6;BuN;5861
16;hotpoint69;13:6;;5446
17;R3PO;18:3;Cimmerier;5400
18;beeman;4:6;#123;4413
19;revilo;6:9;JoKerZ;4000
20;Engel;3:4;;4000
21;Shurrik;6:3;JoKerZ;4000
22;Kromm;18:1;Cimmerier;3000
23;Fuschihunter;6:1;JoKerZ;2900
24;Hustensaft;12:5;puk;2759
25;Fantasia;18:4;Cimmerier;2500
26;Laran_auf_Speed;18:8;Cimmerier;2500
27;Karl_Gustav;7:8;w00t;2161
28;Köpenigga;12:1;puk;2113
29;Marty_McFly;2:3;eViL;2000
30;.::Heros-DA-27-51::.;17:2;;2000
31;MIG;7:7;w00t;1919
32;acTIMel;9:5;w00t;1830
33;w0LLinger;18:9;Cimmerier;1730
34;Heisenberg;3:14;;1676
35;Chris_Lago;4:7;#123;1500
36;-dp-;15:3;;1111
37;lionking;12:8;puk;1000
38;SpeedKill0r;13:5;;1000
39;Paladin;9:4;w00t;917
40;Arya-Stark;12:3;puk;900
41;H-Milch;15:2;;736
42;Pestiii;6:4;JoKerZ;600
43;sabbeL;25:2;;465
44;BaNDiToO;8:7;;417
45;xXxkornxXx;5:10;JoKerZ;219
46;taranis2k1;12:4;puk;197
47;Corty;4:3;#123;100
48;sharky;9:9;w00t;30
49;skaara20;3:1;;20
50;Dino;13:9;;14
51;P4pzt;16:2;Fizzy;1
52;Neoangin;11:4;BuN;1
53;neon;8:12;;1
54;Doctor;4:8;#123;1
55;tivox;3:10;;0
56;el00te;16:7;Fizzy;0
57;Troubley;9:3;w00t;0
58;PyroT21;7:5;w00t;0
59;Gonzalez;17:5;;0
60;oldguy69;18:5;Cimmerier;0
61;McUsher;11:8;BuN;0
62;Bachus;6:5;JoKerZ;0
63;x4n;13:4;;0
64;joe;9:10;w00t;0
65;Smuv;16:9;Fizzy;0
66;Djastah;3:2;;0
67;dalai_lmaa;16:4;Fizzy;0
68;ich_will_incs;21:3;;0
69;w00t;7:2;w00t;0
70;NickSea;17:1;;0
71;Breksch;12:6;puk;0
72;toffer;18:2;Cimmerier;0
73;Mekkie;6:2;JoKerZ;0
74;rapcore;8:14;;0
75;Escape;4:9;#123;0
76;Jimbo171;5:2;JoKerZ;0
77;argu;9:7;w00t;0
78;ASozIaler;3:8;;0
79;gastiEnteritis;16:6;Fizzy;0
80;HaSu-_-;9:2;w00t;0
81;conseco;25:1;;0
82;ThePunisher;17:3;;0
83;Smeagol;13:8;;0
84;mathsch;13:3;;0
85;No7;5:7;JoKerZ;0
86;cRystaL;16:8;Fizzy;0
87;era;16:3;Fizzy;0
88;NachbarsLumpi;21:2;;0
89;ShishaFlo;2:2;eViL;0
90;Graf_Dest;15:4;;0
91;Mezz0;18:6;Cimmerier;0
92;CiroImmobile;13:10;;0
93;lordsachse;11:3;BuN;0
94;B4sT4rd;5:1;JoKerZ;0
95;Viper;9:6;w00t;0
96;capt.nemo;4:2;#123;0
97;lore;9:1;w00t;0
98;:-);21:4;;0
99;diemel;2:4;eViL;0
100;lexus;7:3;w00t;0
