1;lexus;32:4;[SSb];225453853
2;zoolander;1830:7;Narkolepi;114211950
3;Viper;154:7;Hallo?;112072500
4;Aleph;14:3;;97679767
5;Shadow;154:4;Hallo?;93278285
6;fLEkki;26:7;-KiBO-;91503136
7;Feldherrin;2013:2;Narkolepi;86371095
8;Ms.Bort-_-;251:6;NL;84112776
9;tHokK;12:7;;83505393
10;lordsachse;468:2;n1c´e;72395021
11;Arthas;3:7;;69810205
12;oldguy69;1337:6;Templar;67782702
13;Setihome;1337:8;Templar;65720127
14;lynx;351:5;NL;65370500
15;P4pzt;2013:5;Narkolepi;61543315
16;Nox;680:3;Feed Feed;60079383
17;Yilgrim;99:2;OBG;59861112
18;Tr1GGeR;4:7;[R.I.P];59766763
19;CHAOT;6:5;[OutlawZ];58555277
20;DarkGiant;61:1;Templar;56734276
21;RubberBear;89:6;OBG;56564453
22;Greenman;89:2;OBG;51001795
23;Bassbrocken;666:7;[Hippler];49701975
24;argu;26:8;-KiBO-;48055934
25;Mys;10:10;;43754551
26;Spacegirl;10:8;;42060390
27;snow;468:7;n1c´e;39907858
28;Illuminator;23:1;OBG;39353243
29;PaRTYLoeWe;468:8;n1c´e;38282732
30;Matrix;468:4;n1c´e;37308080
31;PerSePhon3;32:5;[SSb];36634810
32;kuemmi;4:5;[R.I.P];36567874
33;Morlock54;1830:5;Narkolepi;35372692
34;Neoangin2.0;99:7;OBG;35037314
35;vstx;15:3;;34933124
36;Klickklack;26:3;-KiBO-;33549233
37;Mila23;99:1;OBG;33523104
38;g0ng;32:3;[SSb];33166593
39;ThePunisher;780:9;NW;32612907
40;Calistra;32:6;[SSb];31559029
41;LordAngla;468:1;n1c´e;29476860
42;Mamsell;17:7;HSTK;29216145
43;Monti_Jones;82:5;[D]ominion;28811491
44;Dest;351:4;NL;27586066
45;H3LLR4iZ3R;66:6;NW;26904343
46;athapo;1078:6;Uhrwerk;26678020
47;schildi;30:3;;26572473
48;Gobbles;158:4;]cB[;25941009
49;Phanto;23:2;OBG;25841597
50;Manolda;780:4;NW;25593010
51;flauschi.reaper;61:8;Templar;25200518
52;CodeZero;680:2;Feed Feed;25056773
53;Cyberfreak;10:4;;25021535
54;daNnyTigA;4:6;[R.I.P];24927593
55;Multiaccount;20:3;#-rp-;24772475
56;Herr_Vorragend;3:5;;24189700
57;Doctor;666:6;[Hippler];24115989
58;Predator;45:4;]cB[;24078850
59;Daja20;251:5;NL;23878912
60;kingz;26:4;-KiBO-;23587500
61;Beemhawk;12:6;;23540830
62;Koks666;158:1;]cB[;23374771
63;Wololo;158:8;]cB[;22784030
64;Fanatic;59:2;Schatten;22742630
65;sharky;338:8;n1c´e;21940194
66;Bunny;780:6;NW;21710529
67;::76ers::Dgingel;76:3;HEROES;21702168
68;Chefkoch;17:3;HSTK;21070821
69;TFimp309;183:6;Failtiere;20907105
70;SuBi2;251:7;NL;20878355
71;sizzzurp21;27:6;;20852150
72;Budack;80:3;NW;20243409
73;Leca;7:2;-KiBO-;19807531
74;Kroete99;5:4;;19664992
75;Petri;68:1;NL;18620602
76;neon;18:6;HSTK;18076784
77;GeWi;79:4;[SSb];17924234
78;eVo;29:5;Schatten;17771134
79;Schroeffu;11:2;;17689500
80;Engel;18:7;HSTK;17383525
81;Rosinenbomber;2013:7;Narkolepi;17038254
82;Tuxilein;12:10;;16959788
83;Altes_Kamuffel;59:6;Schatten;16843200
84;HexyBexy;888:1;SGK;16496150
85;Raptor66;351:9;NL;16448373
86;Freestyle;780:1;NW;15615478
87;RuxRyu;26:2;-KiBO-;15208166
88;toffer;338:4;n1c´e;15002408
89;Buster;222:4;M-_-I;14769372
90;Ash;7:6;-KiBO-;14716063
91;Blubberblase;1830:2;Narkolepi;14563651
92;Sultan;17:8;HSTK;14472264
93;butterbrot;1830:3;Narkolepi;14362200
94;sahne;80:2;NW;13748390
95;KingBingeling;7:7;-KiBO-;13700399
96;-Sunflower-;99:5;OBG;13554189
97;Doni;17:6;HSTK;13359477
98;Ander;833:2;||GoF||;13307565
99;GuckyPOH;351:1;NL;12981554
100;Bachus;338:6;n1c´e;12269686
