1;Pestiii;777:7;NBNP;103200
2;GreatFireball;76:2;HEROES;79375
3;Chrissy;251:2;NL;75991
4;Darkgiant;5:5;T|Oz|Dz;37701
5;Radio;6100:6;Tool Time;37621
6;Rolo;89:3;8472;34500
7;Alex41;6100:7;Tool Time;33400
8;Enomine;888:2;SGK;32500
9;Myxin;888:4;SGK;32500
10;DarkHoliday;178:7;T|Oz|Dz;30590
11;Teufelsweib;300:6;-GAHQ-;27000
12;R3dL4x;666:3;w00t;20904
13;EddyMerckx;666:6;w00t;19666
14;Ghostbuster;39:2;Wafa;19034
15;ThePunisher;780:6;StarZ;18000
16;silent;56:1;;13000
17;Kerrigan;6100:3;Tool Time;10400
18;Ichbin2;1003:3;Revealight;10000
19;Altes_Kamuffel;59:3;Schatten;10000
20;Anglachel;4:3;n1ce;10000
21;Stormtrooper;89:7;8472;7500
22;Spike136;80:5;HEROES;6967
23;Tolotos;39:6;Wafa;5509
24;RuxRyu;26:5;-KiBO-;5500
25;utzi;5:6;T|Oz|Dz;5000
26;Optimus_Heinz;1003:5;Revealight;5000
27;Stubs;11:1;;4187
28;Bassbrocken;666:5;w00t;4000
29;::76ers::MechWarrior;76:8;HEROES;3208
30;kingz;26:7;-KiBO-;3200
31;LordBig;69:5;cp;3020
32;Ratkaf;300:8;-GAHQ-;3001
33;grabi;6666:8;w00t;3000
34;VeSta;29:4;Schatten;3000
35;KillerEwok;222:3;M-I;3000
36;Cool;12:5;;3000
37;Hugo;89:5;8472;2834
38;morpheuz;158:6;[cB];2425
39;Krabbi;99:5;8472;2244
40;zucca;68:8;BLM;2225
41;Bonnum_::_Guardians;6100:2;Tool Time;2201
42;Mamsell;29:8;Schatten;2140
43;lionking;2222:8;M-I;2100
44;Str3un3r;26:6;-KiBO-;2005
45;Kuno;158:4;[cB];2000
46;ebastuart;21:1;ELS;1500
47;matte85;2222:7;M-I;1500
48;lordsachse;4:2;n1ce;1475
49;meier;23:5;;1454
50;Wolf;351:8;NL;1450
51;Whocares;10:1;T|Oz|Dz;1390
52;YesweCan;1003:6;Revealight;1350
53;Morlock54;2013:8;Narko;1337
54;Aaron;20:2;recentis-p;1323
55;BoeserWurm;2013:7;Narko;1280
56;M3L0;2013:6;Narko;1250
57;Nico;68:3;BLM;1187
58;asdf;55:5;n1ce;1180
59;Seemor;13:5;;1063
60;Jundi;6666:7;w00t;1036
61;Bisa;59:5;Schatten;1033
62;Dgini;4:4;n1ce;1003
63;MS4LIFE;76:6;HEROES;1000
64;helli;26:1;-KiBO-;1000
65;BumBumB;1003:7;Revealight;1000
66;Subi2;251:7;NL;1000
67;-Sunflower-;99:4;8472;1000
68;Dest;351:5;NL;1000
69;Maggano;23:2;;1000
70;Dani_Sahne;39:8;Wafa;901
71;Hurik3n;11:7;;900
72;Köpenigga;99:2;8472;900
73;Daki;77:8;NBNP;890
74;Sumpffrosch;80:3;HEROES;860
75;Buster;222:4;M-I;800
76;Baader;10:3;T|Oz|Dz;800
77;Romalk;6:1;BLM;750
78;-.-;29:7;Schatten;750
79;TiVoX;222:6;M-I;733
80;Tieger6666;55:8;n1ce;657
81;Paladin;1830:1;Narko;600
82;camperkill;1003:2;Revealight;600
83;eisteh;6666:5;w00t;600
84;GoreBastard;222:5;M-I;600
85;qerfv;16:3;;570
86;Rosinenbomber;1830:2;Narko;565
87;Loki;1830:6;Narko;520
88;Alkz;1830:8;Narko;515
89;Saxdaanhalta;555:3;Space-Def;506
90;19Schnuedel05;77:7;NBNP;505
91;XxstealxX;68:2;BLM;504
92;EcKi;68:1;BLM;501
93;joe;16:9;;500
94;Zaphod;6100:1;Tool Time;500
95;Delta128;300:4;-GAHQ-;500
96;argu;26:2;-KiBO-;500
97;Shrimp;76:1;HEROES;500
98;Tux.;10:8;T|Oz|Dz;500
99;ToD;21:5;ELS;495
100;stroml;183:3;;480
