1;KoKo;21:4;ELS;200373498
2;Doni;80:7;HEROES;161908185
3;Hyres;6666:5;w00t;129113113
4;Matrix;55:4;n1ce;111059662
5;botes;80:1;HEROES;110503862
6;ToTalUse-_-;768:8;[Hippler];109139994
7;meep;18:1;-SSB-;96876538
8;Kamikotze;76:7;HEROES;89587877
9;Morlock54;2013:8;Narko;82476985
10;Jackson;158:3;[cB];73440777
11;Priskara;12:4;;70941500
12;bordi;2:8;-SSB-;70379341
13;wolve;5:8;T|Oz|Dz;67300540
14;lilaloli;731:2;Plüschi$;65929915
15;Achilles;20:5;recentis-p;63664785
16;:.:NightLight:.:;8:1;;61418550
17;DsR;17:5;;59425420
18;Krabbi;99:7;8472;58888820
19;Dreamcatcher;24:1;;58652300
20;Sumpffrosch;80:3;HEROES;56312070
21;Teufelsweib;2222:6;M-I;54301755
22;Dino;9:5;-GAHQ-;54026572
23;SleepyJoe;3:4;;53093000
24;R3dL4x;666:3;w00t;52903750
25;ch3ck0r;768:6;[Hippler];51221705
26;okoe;2222:4;M-I;50259877
27;lexus;31:1;;48779500
28;Petri;251:6;NL;47401010
29;snow;4:7;n1ce;47276150
30;matte85;777:8;NBNP;47146418
31;Yilgrim;99:1;8472;46103000
32;Piet53;6100:4;Tool Time;45803328
33;GlamdringHellhammer;351:3;NL;44736750
34;olong;26:8;-KiBO-;43785341
35;BlueEnergy;1003:5;Revealight;43534500
36;Gimp;82:2;[D]ominion;42199514
37;Skye;1830:7;Narko;40523005
38;RubberBear;89:2;8472;40342182
39;Calistra;16:1;;38626280
40;007;158:7;[cB];38319421
41;kingcata;777:6;NBNP;38238336
42;Würmchen;777:3;NBNP;37975140
43;Bunny;780:2;FamilY;37641182
44;eVo;29:2;Schatten;37088929
45;ES_;39:4;Wafa;36784998
46;narkose;77:5;NBNP;36699911
47;tpo;3:6;;36056500
48;DeStiny;68:6;FamilY;35786610
49;Akku;666:7;w00t;33918590
50;G3wi;18:7;-SSB-;33020462
51;bobsel;338:5;ELS;30311409
52;KriegsRudih;777:4;NBNP;30098529
53;Phanto;15:6;-GAHQ-;28860933
54;Shurrik;338:2;ELS;28260519
55;fLEkki;8:7;;28020800
56;SkiTill;2013:3;Narko;27418226
57;fod;31:2;;27271150
58;Buffalo;222:8;M-I;27249495
59;v-i-p-e-r;29:3;Schatten;26698236
60;Atlan;39:3;Wafa;25922323
61;GoreBastard;222:5;M-I;25109384
62;Raptor66;351:4;NL;25040240
63;Gucky_;39:5;Wafa;24638202
64;Stormbringer;20:4;recentis-p;24500500
65;KillerEwok;222:3;M-I;24454568
66;Piccolo;55:2;n1ce;24118986
67;Alkz;1830:8;Narko;23396281
68;ebastuart;21:1;ELS;23331808
69;Breiti;4:6;n1ce;23325065
70;Ghostbuster;39:2;Wafa;22978233
71;Rosinenbomber;1830:2;Narko;22715399
72;Benne;178:5;T|Oz|Dz;22686349
73;PinkPanther;18:4;-SSB-;22416381
74;Wandel;17:1;;22089120
75;CosmosVogel;777:5;NBNP;21822705
76;Eggi88;18:2;-SSB-;21705619
77;Carpenter;82:3;[D]ominion;21394824
78;Kr3at0r;731:5;Plüschi$;20710500
79;sChLuMpF-_-2k;780:5;FamilY;20421624
80;Kenshij;18:8;-SSB-;20384671
81;Swavolt;777:7;NBNP;20298039
82;oldguy69;10:2;T|Oz|Dz;20172779
83;Anglachel;4:3;n1ce;18909583
84;Mamsell;2222:5;M-I;18787497
85;coyote;2222:2;M-I;18614846
86;Cube;55:1;n1ce;18525592
87;Greenman;89:6;8472;18266774
88;kampfjogurt;222:7;M-I;18145696
89;Mila23;99:3;8472;17932549
90;PhaLanX;9:7;-GAHQ-;17828956
91;Salayer;8:3;;17637050
92;Mondfrosch;28:9;;17407650
93;kingz;26:7;-KiBO-;17368807
94;Bonnum_::_Guardians;6100:2;Tool Time;17310577
95;Shrimp;76:1;HEROES;16735278
96;Stardust;3:5;;16330000
97;Zaphod;6100:1;Tool Time;16309083
98;KrauseLL;20:6;recentis-p;15962500
99;Silberwolf;40:7;;15894720
100;Loki;1830:6;Narko;15504562
