brazzo;3:4;;Kristall;12987579;crystal
exi;7:7;Baggafahra;Metall;15238815;metal
R1der;7:6;Baggafahra;Asteroiden;75;roids
R1der;7:6;Baggafahra;Kristall Extraktoren;280;ex_crystal
SelAfyon;2:2;Doozer;Metall Extraktoren;513;ex_metal
biti;2:4;Doozer;Scanverstärker;972;amp
Toni;1:6;Mumphiz;Scanblocker;1421;blocker
krYd;1:1;Mumphiz;Jäger;930;s1
Quendrian;2:5;Doozer;Bomber;415;s2
Eisbear;4:5;SW;Fregatte;115;s3
FoxTwo;8:1;eXS;Zerstörer;100;s4
eXtremeTea;1:2;Mumphiz;Kreuzer;25;s5
krYd;1:1;Mumphiz;Schlachtschiff;9;s6
Quendrian;2:5;Doozer;Träger;21;s7
Master83;6:1;outlawZ;Kaperschiff;4860;s9
Master83;6:1;outlawZ;Schutzschiff;5740;s10
Quubsch;8:2;eXS;Rubium;2150;g1
R1der;7:6;Baggafahra;Pulsar;100;g2
R1der;7:6;Baggafahra;Coon;20;g3
Toastbrot;1:3;Mumphiz;Centurion;6;g4
asuka;6:2;outlawZ;Horus;9939;g5
