1;exi;7:7;Luigi;35842077
2;BiggiPl;8:5;;33134517
3;asuka;6:2;;28144236
4;SelAfyon;2:2;;26019771
5;DarA;8:1;;24773998
6;Hugo2;6:5;;22746470
7;Lopan;2:6;;22413449
8;biti;2:4;;21118106
9;krYd;7:8;Luigi;17109493
10;Rauschi;6:3;;16890428
11;Fuegy;2:9;;14730815
12;Master83;6:1;;14712899
13;morphus;2:3;;14573994
14;platin;8:2;;14136992
15;HudsonTNG;2:8;;13609788
16;Porno;8:4;;13458293
17;GrafZahl;8:3;;13174392
18;Quendrian;2:5;;11535450
19;Schmo;2:7;;10990000
20;Quubsch;5:5;;9221154
21;ThePikeman;2:1;;7958995
22;MCCornholio;4:2;SW;6951599
23;Hiob;1:4;;4614756
24;FoxTwo;5:4;;1765875
25;eXtremeTea;7:9;Luigi;1633689
26;Toastbrot;7:10;Luigi;856825
27;R1der;7:6;Luigi;681030
28;Freeez;4:6;SW;608824
29;Zwergwendigo;4:4;SW;334453
30;Eisbear;4:5;SW;131260
31;evuel;1:5;;125639
32;Qui;7:4;Luigi;47550
33;RFC1542;7:3;Luigi;41103
34;Dreamy;7:5;Luigi;41055
35;Scorpion;4:1;SW;21521
36;Freezer;4:3;;1000
37;Toni;1:6;;1000
38;B51HomerS;0:1;;1000
39;schlamperich;5:1;;1000
40;Carcharoth;9:1;;1000
41;brazzo;5:2;;1000
42;TuX;5:3;;1000
43;engeL;7:2;Luigi;466
