1;Mo3pMo3p;14:2;;145595
2;munk;5:3;;78199
3;Caddy;4:7;;71512
4;Janni;14:8;;70000
5;raupi;5:7;;69159
6;seppel;2:9;;67701
7;zeno;5:1;;55135
8;Venom2k;14:5;;41000
9;3rkons;13:4;;38876
10;c0d3x;4:4;;33000
11;Hinnerk;14:1;;30000
12;jansp;1:2;;26502
13;macgyver;4:5;;25918
14;Snake4you;18:1;;25609
15;oScom;5:5;;25000
16;h4ck;5:8;;20967
17;Justy;4:8;;20854
18;Runie;14:3;;20320
19;Frerk;11:2;;20000
20;MyonRashi;4:6;;15000
21;BiohazardSoldier;6:1;;15000
22;Interceptor;2:2;;15000
23;Pug;1:3;;13492
24;Gott;14:4;;12607
25;Hiob;1:1;;10945
26;Logan;4:2;;10721
27;Wittmann;18:4;;10000
28;Nemesis;9:2;;8309
29;WeedOr;9:4;;7801
30;Khorgor;9:3;;7663
31;BeN;5:4;;7148
32;piZZab0y;2:3;;5000
33;Sacrifice;13:1;;4307
34;Burloc;9:5;;4095
35;SmookieMcPod;6:2;;4000
36;DarkRival;2:10;;3498
37;Kampfgulasch;13:5;;3029
38;guru;2:8;;2500
39;Schmitti;18:3;;1000
40;kA;11:7;;735
41;Hans;8:1;;600
42;Deadeye;11:3;;400
43;One;18:2;;249
44;ololol;3:1;;66
45;Lexx;11:8;;50
46;flitzepiepe;13:3;;3
47;noRdiC;3:8;;0
48;thieve;11:9;;0
49;NeKrOnOx;20:2;;0
50;Psychodelity;3:2;;0
51;SuupaaidioOT;2:4;;0
52;Gyr;12:1;;0
53;DeM;15:1;;0
54;pHx;3:3;;0
55;Flar;11:4;;0
56;sushi;2:5;;0
57;DerZwerg;9:1;;0
58;fuchS;4:3;;0
59;icycut;10:1;;0
60;triple;2:1;;0
61;cKone;16:1;;0
62;PadX;13:9;;0
63;Bullrider;3:4;;0
64;k1k1;2:6;;0
65;m4j0r;13:2;;0
66;tzoelen;2:11;;0
67;DISCOSTU;11:1;;0
68;Mupfel;19:1;;0
69;hille;3:6;;0
70;v1per;2:7;;0
71;Stacma;5:6;;0
72;Hawk;14:6;;0
73;DamonX;7:1;;0
74;Scary;17:1;;0
75;poTTo;5:2;;0
