1;munk;5:3;;35960150
2;raupi;5:7;;31523364
3;SmookieMcPod;18:4;;23028938
4;macgyver;4:5;;17100135
5;wichtel;3:5;;15513245
6;c0d3x;4:4;;13654300
7;Lexx;11:8;;8932898
8;Hiob;1:1;;8253335
9;3rkons;13:4;;6284500
10;BiohazardSoldier;18:5;;5610161
11;seppel;2:9;;4765335
12;Hinnerk;14:1;;4692292
13;Kampfgulasch;13:5;;4006800
14;Snake4you;18:1;;3473627
15;Khorgor;2:13;;3354500
16;DerZwerg;9:1;;3195223
17;Schmitti;18:3;;2187970
18;WeedOr;9:4;;1922864
19;Gott;2:14;;1778352
20;Burloc;9:5;;1616591
21;Frerk;21:1;;1472674
22;piZZab0y;2:3;;1386000
23;Caddy;4:7;;1238500
24;Runie;14:3;;1057505
25;KB;11:2;;985500
26;Wittmann;1:4;;280083
27;jansp;1:2;;155915
28;Pug;1:3;;146664
29;MyonRashi;21:2;;67123
30;kA;11:5;;24464
31;hille;3:6;;1000
32;tzoelen;2:11;;1000
33;Deadeye;11:3;;1000
34;Interceptor;2:2;;1000
35;fuchS;4:3;;1000
36;Psychodelity;3:2;;1000
37;Gyr;12:1;;1000
38;v1per;2:7;;1000
39;poTTo;5:2;;1000
40;Scary;17:1;;1000
41;Mo3pMo3p;3:7;;1000
42;Nemesis;2:12;;1000
43;Flar;11:4;;1000
44;DamonX;7:1;;1000
45;pHx;3:3;;1000
46;Sacrifice;13:1;;1000
47;guru;2:8;;1000
48;icycut;10:1;;1000
49;noRdiC;3:8;;1000
50;PadX;13:9;;1000
51;SuupaaidioOT;2:4;;1000
52;Hans;8:1;;1000
53;NeKrOnOx;20:2;;1000
54;DeM;15:1;;1000
55;Bullrider;3:4;;1000
56;m4j0r;13:2;;1000
57;DISCOSTU;11:1;;1000
58;BeN;5:4;;1000
59;Hawk;3:9;;1000
60;sushi;2:5;;1000
61;cKone;16:1;;1000
62;flitzepiepe;13:3;;1000
63;DarkRival;2:10;;1000
64;triple;2:1;;1000
65;Stacma;5:6;;1000
66;Logan;4:2;;1000
67;ololol;3:1;;1000
68;thieve;11:9;;1000
69;k1k1;2:6;;1000
70;Justy;4:8;;1000
71;Mupfel;19:1;;1000
72;One;18:2;;82
