1;lore;5:3;;888
2;HappySkul.de;6:1;;796
3;13obbel;6:4;;616
4;PRESTiGE;5:2;;345
5;bitburger;5:1;;325
6;Cyberroller;1:4;;270
7;SevenSez;7:3;;263
8;seppel;5:4;;259
9;stl.silence;6:2;;242
10;kumba_y0;138:4;;230
11;saubaeer;10:1;;110
12;ichpwneuchihrkellerkinder;3:7;;106
13;busTa;1:2;;100
14;Hacksaw;1:5;;93
15;xXxNevaDiexXx;1:3;;83
16;NeKrOnOx;137:1;;80
17;bardock01;8:1;;74
18;Nightmare;137:3;;71
19;xchrisx;10:4;;67
20;germane;11:1;;65
21;Gutschimoto;140:1;;63
22;BrainBug;138:1;;62
23;BiohazardSoldier;140:2;;57
24;Lord-ENZO;137:2;;57
25;Wolf2k;137:7;;51
26;Hiob;1:1;;49
27;fanat1c;137:5;;47
28;mokkelinho;3:6;;45
29;Schmitti;7:2;;45
30;KarmaPolice;3:4;;42
31;Lorenor-Zorro;137:6;;40
32;Ezy;10:2;;37
33;W4Ck31D4Ck31;138:2;;35
34;One_Of_Eight;7:1;;26
35;AsterixXx;6:7;;24
36;-evuel-;2:1;;23
37;Scott;3:8;;11
38;AffeMitWaffe;4:1;;4
39;Unholy16-XT;6:6;;4
40;Flowshee;6:3;;0
41;PhiLLoW;9:1;;0
42;bOoMeR;3:2;;0
43;Chrisman;10:6;;0
44;Siith;6:5;;0
45;Wurstbrot;3:1;;0
46;yellow.alien;3:5;;0
47;Ben-Mirro;10:3;;0
