1;ThePunisher ;1088:4;Die 10;79886
2;Mamsell;10:1;MW&M;55407
3;Anglachel ;1488:2;Die 10;20000
4;GlamidringHellhammer;21:1;;20000
5;Köpenigga;4:3;Myll;17000
6;LinDDale;7:5;;10565
7;Daki;10:2;MW&M;10150
8;Grau;5:4;MW&M;8086
9;lionking;4:4;Myll;6000
10;Thanos;1488:4;Die 10;5755
11;Lordsachse ;1088:1;Die 10;4400
12;gerolsteiner;6:6;Myll;4331
13;Messemaker;5:1;MW&M;3807
14;Wolf;10:5;MW&M;3000
15;Shrimp;10:4;MW&M;3000
16;Kampmann;5:2;MW&M;2750
17;Sphinx;3:6;;2647
18;Romalk;7:2;;2000
19;Peterle;4:1;Myll;2000
20;BigLebowski;1088:5;Die 10;1830
21;..,-;1488:5;Die 10;1710
22;ebastuart;5:5;MW&M;1000
23;Exitus;1088:3;Die 10;888
24;TheRock;6:2;Myll;812
25;Ash;18:1;;600
26;HeIk;4:5;Myll;600
27;Metall2009;1488:1;Die 10;543
28;Bachus;6:4;Myll;315
29;Fanjo;6:7;Myll;261
30;DgingelBell;1488:3;Die 10;200
31;Hasi;6:3;Myll;200
32;3k1;10:3;MW&M;150
33;kaeptenbalu;15:1;;100
34;Dunkelblau;7:4;;100
35;DerLuu;14:1;;100
36;derwichser;7:3;;24
37;BillyButcher;5:3;MW&M;15
38;Bulldog;11:1;;0
39;Gizeh;3:4;;0
40;Alex43;13:1;;0
41;Ofenkäse;3:1;;0
42;LarsVader;22:1;;0
43;vikinger;9:1;;0
44;RubberBear;4:2;Myll;0
45;LordDarkness;3:3;;0
46;BanZai;1088:2;Die 10;0
47;Bonnum;17:1;;0
48;GoKu;12:1;;0
49;argu;3:5;;0
50;Exenfarm;8:2;;0
51;Weini2k;7:1;;0
52;:-(;3:2;;0
53;Kraftwerk;16:1;;0
