1;Mamsell;10:1;MW&M;73517
2;Dunkelblau;7:4;;37338
3;gerolsteiner;6:6;Myll;32863
4;Messemaker;5:1;MW&M;32067
5;GlamidringHellhammer;21:1;;30000
6;LinDDale;7:5;;20000
7;Köpenigga;4:3;Myll;16000
8;Anglachel ;1488:2;Die 10;11111
9;3k1;10:3;MW&M;10320
10;Daki;10:2;MW&M;10000
11;RubberBear;4:2;Myll;8597
12;Fanjo;6:7;Myll;7594
13;Hasi;6:3;Myll;7049
14;BillyButcher;5:3;MW&M;6339
15;lionking;4:4;Myll;6000
16;DerLuu;14:1;;4500
17;Grau;5:4;MW&M;3331
18;BigLebowski;1088:5;Die 10;2800
19;Shrimp;10:4;MW&M;2000
20;Peterle;4:1;Myll;1700
21;Ash;18:1;;1500
22;Exitus;1088:3;Die 10;1389
23;Romalk;7:2;;1200
24;ThePunisher ;1088:4;Die 10;1100
25;Wolf;10:5;MW&M;810
26;Metall2009;1488:1;Die 10;500
27;Thanos;1488:4;Die 10;481
28;HeIk;4:5;Myll;434
29;..,-;1488:5;Die 10;400
30;DgingelBell;1488:3;Die 10;125
31;Lordsachse ;1088:1;Die 10;100
32;BanZai;1088:2;Die 10;50
33;Kampmann;5:2;MW&M;20
34;Bulldog;11:1;;0
35;derwichser;7:3;;0
36;Gizeh;3:4;;0
37;Alex43;13:1;;0
38;Sphinx;3:6;;0
39;ebastuart;5:5;MW&M;0
40;Ofenkäse;3:1;;0
41;LarsVader;22:1;;0
42;kaeptenbalu;15:1;;0
43;vikinger;9:1;;0
44;LordDarkness;3:3;;0
45;Bonnum;17:1;;0
46;GoKu;12:1;;0
47;argu;3:5;;0
48;TheRock;6:2;Myll;0
49;Exenfarm;8:2;;0
50;Weini2k;7:1;;0
51;:-(;3:2;;0
52;Kraftwerk;16:1;;0
53;Bachus;6:4;Myll;0
