1;ebastuart;5:5;MW&M;2000
2;Bachus;6:4;Myll;2000
3;BillyButcher;5:3;MW&M;1830
4;Wolf;10:5;MW&M;1700
5;RubberBear;4:2;Myll;1600
6;Grau;5:4;MW&M;1520
7;Daki;10:2;MW&M;1479
8;Exitus;1088:3;Die 10;1451
9;BanZai;1088:2;Die 10;1400
10;DgingelBell;1488:3;Die 10;1288
11;Hasi;6:3;Myll;1250
12;Kampmann;5:2;MW&M;1200
13;Messemaker;5:1;MW&M;1141
14;Shrimp;10:4;MW&M;1100
15;3k1;10:3;MW&M;1081
16;Peterle;4:1;Myll;1000
17;BigLebowski;1088:5;Die 10;1000
18;..,-;1488:5;Die 10;830
19;TheRock;6:2;Myll;830
20;ThePunisher ;1088:4;Die 10;700
21;Metall2009;1488:1;Die 10;600
22;Anglachel ;1488:2;Die 10;538
23;Lordsachse ;1088:1;Die 10;513
24;gerolsteiner;6:6;Myll;400
25;Thanos;1488:4;Die 10;337
26;Mamsell;10:1;MW&M;291
27;Weini2k;7:1;;285
28;DerLuu;14:1;;200
29;lionking;4:4;Myll;150
30;Sphinx;3:6;;50
31;Bulldog;11:1;;40
32;Alex43;13:1;;10
33;Gizeh;3:4;;4
34;vikinger;9:1;;2
35;Ofenkäse;3:1;;0
36;:-(;3:2;;0
37;LarsVader;22:1;;0
38;Dunkelblau;7:4;;0
39;Köpenigga;4:3;Myll;0
40;LordDarkness;3:3;;0
41;Exenfarm;8:2;;0
42;GoKu;12:1;;0
43;Kraftwerk;16:1;;0
44;kaeptenbalu;15:1;;0
45;LinDDale;7:5;;0
46;derwichser;7:3;;0
47;Bonnum;17:1;;0
48;argu;3:5;;0
49;Fanjo;6:7;Myll;0
50;Romalk;7:2;;0
51;GlamidringHellhammer;21:1;;0
52;HeIk;4:5;Myll;0
53;Ash;18:1;;0
